category,sort_order,label_ja,description
convenience,10,コンビニエンスストア,コンビニエンスストア
drugstore,20,ドラッグストア・薬局,ドラッグストアや調剤薬局
gourmet,30,グルメ,レストランやカフェなどの飲食店舗
baby_kids,40,ベビー・子ども,ベビー用品や子ども用品を中心に扱う店舗
supermarket_homecenter,50,スーパーマーケット・ホームセンター,スーパーやホームセンター
department_mall,60,百貨店・モール,百貨店や商業モール
other_shopping,70,その他ショッピング,その他の物販系店舗
books,80,本,書店や関連売場
fashion,90,服飾,衣料品やファッション雑貨
service,100,その他サービス,生活サービスや交通など
leisure,110,レジャー・アミューズメント,アミューズメントや娯楽施設
airport,120,空港施設,空港施設や空港内ショップ
lodging,130,宿泊施設,ホテルや宿泊施設
home_appliance,140,家電,家電量販店
